userID,duration,touchCount,timestamp,clipID,pressure,distance,confidence,acceleration_y_min,acceleration_y_mean,acceleration_y_max,acceleration_euclidean_min,acceleration_euclidean_mean,acceleration_euclidean_max,acceleration_x_min,acceleration_x_mean,acceleration_x_max,velocity_y_min,velocity_y_mean,velocity_y_max,velocity_euclidean_min,velocity_euclidean_mean,velocity_euclidean_max,velocity_x_min,velocity_x_mean,velocity_x_max,coordinates_end_y,coordinates_end_x,coordinates_start_y,coordinates_start_x
go4he9BzAoPb0aHTujttv9jTYeo1,464.0,56,2024-03-13 11:00:09+00:00,ACCEDE09412.mp4,0.0509803965687751,392.30553535478816,5,0.0002476299802462,0.0162413013151754,0.0737898009163992,0.0007178862721137,0.0165873854743617,0.0757475739025541,0.0009073438122868,0.0795177310966304,0.3108777999877929,0.0120627237483859,0.8091138389130885,3.0751357078552246,0.0233123837576679,0.8986982866637387,3.210504406892868,0.0027932059019804,0.3304891354319724,1.1067417860031128,1505.2733154296875,601.1717529296875,1140.234130859375,744.8729248046875
zSL9YKnF8The2CE4m5a5rgbtxZj1,5507.0,113,2024-03-08 06:50:15+00:00,ACCEDE04544.mp4,0.062745101749897,13.408754341592063,5,0.0,0.0070387168564744,0.1105623319745063,0.0,0.0013571581103065,0.0200683009672654,0.0,0.0009707655516408,0.0104730207473039,0.0,0.0429128071592523,0.4536687135696411,0.0,0.0478726744753334,0.4537728234289871,0.0,0.013096654556518,0.0650966316461563,1359.374755859375,926.2792358398438,1346.484130859375,922.5878295898438
wnCTdtSONxOsb7CMmmukAQfsOB72,91.0,5,2024-03-06 15:33:28+00:00,ACCEDE01941.mp4,0.0705882385373115,10.653271927384049,5,0.0013493435347781,0.0021258023894895,0.0027971537783741,0.0007457105589933,0.0029328090339253,0.0052882801111077,9.041498689090503e-05,0.0021341301413404,0.0046342434361577,0.0779922157526016,0.109462721273303,0.1373041570186615,0.1053999273979059,0.1744747116723712,0.2251511804432063,0.0708968192338943,0.1352406777441501,0.1784394085407257,1300.65234375,630.439453125,1294.1484375,622.001953125
UQYV87WVYFe9dJ9QKmorAe1wr5a2,7015.0,700,2024-03-01 06:59:39+00:00,ACCEDE07107.mp4,0.0352941192686557,697.4532788777447,4,6.23448027504815e-06,0.0361049685860033,0.2700927768434797,5.743907384716159e-06,0.0037758898119618,0.0289634716273133,2.2063652674357097e-05,0.0068686304934395,0.0744657628238201,0.0003458746068645,0.3500551347286778,1.261407494544983,0.0065739599485946,0.4104874191408651,1.2625172396328692,0.0002979959826916,0.1321801863493663,0.6587560772895813,1561.5233154296875,728.7889404296875,1138.476318359375,174.28707885742188
ywf1GZuFupOvPP0JmlB6CiEjerP2,8738.0,1043,2024-03-08 07:29:57+00:00,ACCEDE05015.mp4,0.0431372560560703,391.6672711168232,3,4.28277999162674e-05,0.1877141615479816,1.4971436091831751,0.0001869771735856,0.0784604551804902,0.2676053251505809,6.75405774797712e-05,0.3786337118038636,1.9582635760307312,0.0075288033112883,1.4043690140810066,6.218630790710449,0.0476481318473815,3.314542543847644,8.940526714861148,0.0088380463421344,2.9004638602880264,7.942602634429932,1284.960693359375,757.7928466796875,1195.312255859375,376.52337646484375
ywf1GZuFupOvPP0JmlB6CiEjerP2,805.0,96,2024-03-08 07:32:55+00:00,ACCEDE07349.mp4,0.039215687662363,194.9564063834322,4,3.410710228814019e-06,0.095164447467394,0.6363129615783691,3.783405424750974e-05,0.0192472355073319,0.1371269790820578,0.0005516801029443,0.1647832524555804,0.9738144533974784,0.0023356201127171,0.8263823928899671,2.593712091445923,0.1269656166554488,1.512313936523156,3.954049131423421,0.0082185287028551,1.0313182463183217,3.5300779342651367,1150.781005859375,403.9452819824219,1082.812255859375,586.6697998046875
ywf1GZuFupOvPP0JmlB6CiEjerP2,89.0,8,2024-03-08 07:30:49+00:00,ACCEDE00967.mp4,0.039215687662363,1.58203125,4,2.8698539153992897e-06,0.0016441785424241,0.0037615787237882,4.645378365897811e-05,0.00299758119149,0.0112013500547806,4.645343869924545e-05,0.0060362682312855,0.0108013339340686,2.295883132319432e-05,0.0110502521251224,0.0359927825629711,0.0232962076955182,0.0636091597346799,0.0955017162144012,0.0111933769658207,0.0599114156461187,0.0955017134547233,1290.234130859375,476.7187194824219,1290.234130859375,475.1366882324219
IDF2PZgtVZWiYVLPQcqjV2OkVXl1,12837.0,762,2024-02-24 12:00:09+00:00,ACCEDE01343.mp4,0.0700000002980232,368.0787959119623,4,3.912674628736568e-07,0.0160780678040407,0.230398977504057,4.548654656785941e-06,0.003184184975626,0.0662508051849869,1.2602437944973217e-06,0.0140311021306117,0.1145684011280536,2.2686903321300637e-05,0.2379276369667755,2.1476409435272217,0.0248742397467965,0.3662262620120542,2.148082747500557,0.0001162529952125,0.2355529849482059,1.4191148281097412,909.0,612.0,1070.0,281.0
ywf1GZuFupOvPP0JmlB6CiEjerP2,90.0,7,2024-03-08 07:31:43+00:00,ACCEDE08233.mp4,0.039215687662363,2.444255418323788,2,0.0002834443983278,0.0058882665285317,0.0167966415174305,0.000873589841903,0.0046230622049697,0.0114484801105492,0.0030183859524272,0.0123047133819756,0.023458044975996,0.0009076233254745,0.0376155446477544,0.106665976345539,0.0441838008680655,0.0832565760691676,0.1549739458853669,0.0120336050167679,0.0667455713264644,0.112424612045288,1278.515380859375,540.0,1277.929443359375,542.3729858398438
nlU9fXuF5Bav237GXyV1jSgMsd42,264.0,28,2024-02-29 07:59:32+00:00,ACCEDE09092.mp4,0.0509803965687751,20.247193035978636,5,0.0004394310800468,0.0042803356134252,0.0152520504780113,0.0005136957052748,0.0054465185068638,0.0186803508840627,0.0013017141156726,0.0306730843652533,0.1087371110916137,0.0016846971120685,0.0885343660893677,0.2209603935480117,0.0450231067071605,0.1852148752108126,0.4576728856763484,0.0059648975729942,0.1467635448746107,0.4479051828384399,1395.116943359375,948.6913452148438,1378.710693359375,960.5565795898438
